Critic/Publisher,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eigth,Ninth,Tenth
Bill Goodykoontz,Lady Bird,The Big Sick,Dunkirk,Call Me by Your Name,Get Out,The Florida Project,The Shape of Water,The Post,"Three Billboards Outside Ebbing, Missouri",Phantom Thread
Erika Balsom,Tonsler Park,By the Time It Gets Dark,The Human Surge,Freak Orlando / Chamisso's Shadow,Western,Also Known as Jihadi,Eight Hours Don't Make a Day,The Nothing Factory,El Mar La Mar,Sunstone,Life Imitation
J. Hoberman,Drunk (aka Drink),Zama,Streetscapes [Dialogue],The Vietnam War,Nocturama,Get Out,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,The Florida Project,Bombshell: The Hedy Lamarr Story,An Ecstatic Experience
James Quandt,"""The Boat Is Leaking. The Captain Lied.""",Jean Vigo,Zama,Western,The Nothing Factory,Faces Places,Closeness,12 Jours,Caniba,EX LIBRIS – The New York Public Library
Amy Taubin,Spoor,Quest,Get Out,Top of the Lake: China Girl,Beatriz at Dinner,Faces Places,Tony Conrad: Completely in the Present,Okja,En el Septimo Dia,Twin Peaks: The Return (Part 8)
John Waters,Baby Driver,"I, Olga Hepnarova",The Strange Ones,Nocturama,Wonderstruck,Graduation,The Wizard of Lies,Lady Macbeth,Wonder Wheel,Tom of Finland
Corey Craft,Phantom Thread,Personal Shopper,Lady Bird,A Ghost Story,Get Out,Call Me by Your Name,Dunkirk,A Quiet Passion,The Lost City of Z,The Florida Project
Lindsey Bahr,Dunkirk,Lady Bird,mother!,Call Me by Your Name,The Florida Project,Get Out,Phantom Thread,Wonder Woman,Jane,Star Wars: The Last Jedi
Jake Coyle,Call Me by Your Name,The Florida Project,Dunkirk,Faces Places,Lady Bird,Dawson City: Frozen Time,Get Out,Phantom Thread,Logan Lucky,The Lost City of Z
Christopher Orr,Get Out,Dunkirk,"Three Billboards Outside Ebbing, Missouri",Blade Runner 2049,The Shape of Water,Coco,mother!,The Florida Project,Phantom Thread,The Post
Charles Ealy,The Shape of Water,"Three Billboards Outside Ebbing, Missouri",Lady Bird,"I, Tonya",The Post,Get Out,Darkest Hour,Call Me by Your Name,Wind River,Loveless
Joe Gross,Get Out,The Killing of a Sacred Deer,My Friend Dahmer,Call Me by Your Name,Lady Bird,Lemon,Coco,I Called Him Morgan,Wonder Woman,Twin Peaks: The Return
Matt Shiverdecker,Call Me by Your Name,Lady Bird,The Shape of Water,Dunkirk,Faces Places,The Florida Project,The Killing of a Sacred Deer,The Beguiled,BPM (Beats Per Minute),Coco
Marjorie Baumgarten,The Shape of Water,Call Me by Your Name,Lady Bird,Faces Places,Get Out,Dunkirk,The Florida Project,Hostiles,A Quiet Passion,Mudbound
Steve Davis,The Shape of Water,Dunkirk,Your Name,Truman,Baby Driver,Lady Bird,Call Me by Your Name,Get Out,Coco,Kedi
Kimberley Jones,Call Me by Your Name,Phantom Thread,Jane,The Big Sick,"I, Tonya",My Happy Family,Mudbound,Lady Bird,BPM (Beats Per Minute),A Ghost Story
Josh Kupecki,I Don't Feel at Home in This World Anymore,Lady Bird,EX LIBRIS – The New York Public Library,Jane,"I, Tonya",Faces Places,Ingrid Goes West,Thelma,Call Me by Your Name,Columbus
Marc Savlov,mother!,Call Me by Your Name,Dunkirk,The Shape of Water,"Three Billboards Outside Ebbing, Missouri",Get Out,Baby Driver,The Florida Project,Lucky,Wonder Woman
Danielle White,"Three Billboards Outside Ebbing, Missouri",The Big Sick,Shot Caller,Get Out,The Lure,Columbus,Call Me by Your Name,Lady Bird,A Ghost Story,Ingrid Goes West
Richard Whittaker,Dunkirk,"I, Tonya",Blade Runner 2049,"Three Billboards Outside Ebbing, Missouri",Logan,Personal Shopper,The Big Sick,Brigsby Bear,Good Time,A Dark Song
A.A. Dowd,The Florida Project,Nocturama,Lady Bird,The Lost City of Z,Phantom Thread,A Quiet Passion,The Square,Dunkirk,mother!,Call Me by Your Name
Mike D’Angelo,mother!,The Florida Project,Staying Vertical,Brawl in Cell Block 99,Nocturama,The Killing of a Sacred Deer,Wormwood,4 Days In France,Phantom Thread,Félicité
Jesse Hassenger,The Florida Project,Lady Bird,A Ghost Story,Logan Lucky,The Meyerowitz Stories (New and Selected),"Three Billboards Outside Ebbing, Missouri",Colossal,Star Wars: The Last Jedi,T2: Trainspotting,Logan
Noel Murray,The Florida Project,Lady Bird,Baby Driver,A Ghost Story,Get Out,Dunkirk,Their Finest,mother!,Menashe,My Happy Family
