Critic/Publisher,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eigth,Ninth,Tenth
Philip Martin,Roma,Shoplifters,First Reformed,Leave No Trace,Blaze,Skate Kitchen,Vice,Isle of Dogs,Wildlife,The Rider
Melissa Anderson,Zama,Eight Hours Don't Make a Day [theatrical release of 1973-73 TV miniseries],The Misandrists,Personal Problems [1980],(tie) Let the Sunshine In,(tie) High Life,"Hale County This Morning, This Evening","Nico, 1988",Support the Girls,From the Collection of Pearl Bowser [exhibit],Diamantino
J Hoberman,Wormwood,The Image Book,Transit,BlacKkKlansman,The Kavanaugh hearing [breaking news event],The Americans [Season 6],The Death of Stalin,The Waldheim Waltz,Org,Dialogue With Che
James Quandt,Dead Souls,The Image Book,Un homme marche dans la ville [rerelease of 1950 film],Thomas Bayrle [retrospective],La Flor [specifically:  Manet and Ravel sequences],Elegant Beast [1962],Burning,The Load,Ayka,The Black Book
Amy Taubin,Adrian Piper [exhibit],The Image Book,Roma,Sorry to Bother You,Life & Nothing More,Ash Is Purest White,Burning,Happy as Lazzaro,At Eternity's Gate,American Dharma
John Waters,Jeannette: The Childhood of Joan of Arc,American Animals,"Nico, 1988",Mom and Dad,Blindspotting,The Green Fog,Custody,Sollers Point,Let It Fall: Los Angeles 1982-1992,Permanent Green Light
Alex Biese,A Fantastic Woman,Disobedience,BlacKkKlansman,Sorry to Bother You,Hereditary,Beauty and the Dogs,Black Panther,First Reformed,The Rider,Suspiria
Lindsey Bahr,Cold War,Can You Ever Forgive Me?,Roma,Wildlife,BlacKkKlansman,A Star Is Born,Private Life,The Favourite,"Juliet, Naked",The Ballad of Buster Scruggs
Jake Coyle,Burning,Private Life,First Reformed,Shoplifters,The Ballad of Buster Scruggs,Cold War,The Rider,Paddington 2,The Favourite,Zama
Christopher Orr,Roma,Cold War,A Star Is Born,First Reformed,Black Panther,The Old Man & The Gun,Widows,The Death of Stalin,The Rider,A Simple Favor
David Sims,Widows,Shoplifters,First Reformed,A Star Is Born,Leave No Trace,Support the Girls,Mission: Impossible – Fallout,If Beale Street Could Talk,Burning,Let the Sunshine In
Marjorie Baumgarten,Roma,Leave No Trace,The Rider,Private Life,Minding the Gap,Shoplifters,Happy as Lazzaro,The Favourite,BlacKkKlansman,Eighth Grade
Steve Davis,Eighth Grade,Isle of Dogs,Can You Ever Forgive Me?,Leave No Trace,Roma,Three Identical Strangers,Sorry to Bother You,Shoplifters,The Rider,Mandy
Josh Kupecki,Roma,Shoplifters,First Reformed,Thunder Road,The Favourite,Mandy,Matangi/Maya/M.I.A.,You Were Never Really Here,Sorry to Bother You,Lean on Pete
Matthew Monagle,Burning,The Rider,Leave No Trace,What They Had,Cam,Roma,Eighth Grade,Sorry to Bother You,Spider-Man: Into the Spider-Verse,First Reformed
Marc Savlov,First Reformed,You Were Never Really Here,Roma,Won't You Be My Neighbor?,Hereditary,Let the Corpses Tan,Bomb City,Sorry to Bother You,Burning,Mandy
Danielle White,Thunder Road,Madeline's Madeline,The Favourite,Mandy,Did You Wonder Who Fired the Gun?,First Reformed,Hereditary,Minding the Gap,Bodied,Cold War
Richard Whittaker,Blindspotting,You Were Never Really Here,Avengers: Infinity War,Won't You Be My Neighbor?,Burning,The Favourite,A Simple Favor,Hereditary,Spider-Man: Into the Spider-Verse,First Man
Charles Bramesco,First Reformed,Mandy,Cam,Madeline's Madeline,Let the Corpses Tan,Support the Girls,Vox Lux,BlacKkKlansman,Roma,Isle of Dogs
Mike D'Angelo,Burning,Support the Girls,The Last Race,Private Life,Game Night,Thoroughbreds,Sorry to Bother You,Cold War,Lean on Pete,24 Frames
A.A. Dowd,Burning,Cold War,Lean on Pete,Hereditary,First Man,Minding the Gap,You Were Never Really Here,Zama,Thoroughbreds,Shoplifters
Lawrence Garcia,Western,The House That Jack Built,Burning,Prototype,The Other Side of the Wind,Support the Girls,Unfriended: Dark Web,Isle of Dogs,Golden Exits,Maison Du Bonheur
Jesse Hassenger,Thoroughbreds,Support the Girls,Eighth Grade,Tully,The Ballad of Buster Scruggs,First Man,The Old Man & The Gun,Widows,A Quiet Place,First Reformed
Noel Murray,Roma,The Ballad of Buster Scruggs,Burning,Cold War,You Were Never Really Here,Eighth Grade,Leave No Trace,BlacKkKlansman,A Star Is Born,First Reformed
Katie Rife,Hereditary,Eighth Grade,Cold War,Can You Ever Forgive Me?,You Were Never Really Here,Support the Girls,Burning,BlacKkKlansman,The Favourite,Border
Ignatiy Vishnevetsky,The Other Side of the Wind,First Man,First Reformed,A Bread Factory: Parts One and Two,Support the Girls,The Night Comes for Us,Burning,Mission: Impossible – Fallout,Happy as Lazzaro,The Favourite
Gregory Ellwood,Cold War,Climax,The Favourite,If Beale Street Could Talk,Non-Ficton,BlackkKlansman,Roma,Sauvage,A Simple Favor,Burning
Max Weiss,Roma,Can You Ever Forgive Me?,The Favourite,Eighth Grade,Crazy Rich Asians,Burning,The Rider,If Beale Street Could Talk,WIdows,Madeline's Madeline
Nicholas Barber,A Quiet Place,Shoplifters,Cold War,If Beale Street Could Talk,The Favourite,Spider-Man: Into the Spider-Verse,The Rider,Leave No Trace,First Man,Sweet Country
Leigh Monson,Sorry to Bother You,Annihilation,Black Panther,Spider-Man: Into the Spider-Verse,The Favourite,The Hate U Give,Cam,"Love, Simon",Won't You Be My Neighbor?,Hereditary
Evan Saathoff,Mandy,Sorry to Bother You,First Reformed,The Night Comes for Us,Champion,Mission: Impossible – Fallout,Widows,Suspiria,Game Night,Avengers: Infinity War
Emily Sears,Eighth Grade,Pin Cushion,Paddington 2,The Favourite,You Were Never Really Here,Cold War,Won't You Be My Neighbor?,Ben Is Back,Shirkers,Summer 1993
James Shapiro,The World Is Yours,Burning,First Reformed,Suspiria,Annihilation,Cold War,The House That Jack Built,The Night Comes for Us,Border,Shirkers
Andrew Todd,Madeline's Madeline,Annihilation,First Reformed,Minding the Gap,Paddington 2,Can You Ever Forgive Me?,You Were Never Really Here,Blindspotting,Searching,Game Night
Scott Wampler,Annihilation,Suspiria,Mandy,The Favourite,Eighth Grade,Spider-Man: Into the Spider-Verse,Mission: Impossible – Fallout,Cam,Possum,Shirkers,Gotti,Venom
Jamie Broadnax,In Fabric,Colette,BlacKkKlansman,Consequences (Posledice),Monsters and Men,Halloween,Black Panther,Blindspotting,Revenge,Mandy
Jason Guerrasio,A Star Is Born,Spider-Man: Into the Spider-Verse,The Old Man & The Gun,Andre the Giant,Eighth Grade,Widows,The Favourite,Mandy,Icebox,Blindspotting
Alison Willmore,The Rider,The Favourite,A Star Is Born,Minding the Gap,Madeline's Madeline,The Death of Stalin,You Were Never Really Here,Burning,Spider-Man: Into the Spider-Verse,Support the Girls
Cahiers du cinéma,The Wild Boys,Coincoin and the Extra-Humans,Phantom Thread,Burning,Paul Sanchez est revenu!,The Post,On the Beach at Night Alone,The House That Jack Built,Leto,Treasure Island
Tim Miller,Eighth Grade,Wildlife,First Reformed,Cold War,American Animals,Shoplifters,Disobedience,Thoroughbreds,The Rider,Godard Mon Amour
David Morgan,The Death of Stalin,Leave No Trace,The Favourite,You Were Never Really Here,The Rider,Shirkers,Cold War,Wildlife,BlacKkKlansman,The Ballad of Buster Scruggs
Lawrence Toppman,Shoplifters,Eighth Grade,Isle of Dogs,The Rider,Leave No Trace,Won't You Be My Neighbor?,Black Panther,Roma,Science Fair,Lean on Pete
Ben Sachs,L'Enfant Secret,Zama,Ash Is Purest White,Bitter Money,24 Frames,The Arboretum Cycle,Good Manners,Roma,Eight Hours Don't Make a Day,The Commuter,The Hate U Give,The Third Murder,Rainbow: A Private Affair
Richard Roeper,Widows,Roma,BlacKkKlansman,Leave No Trace,Lean on Pete,A Star Is Born,Black Panther,Blindspotting,Spider-Man: Into the Spider-Verse,Mission: Impossible – Fallout
Michael Phillips,The Rider,Roma,Can You Ever Forgive Me?,The Favourite,Minding the Gap,Widows,First Reformed,Sorry to Bother You,Zama,Black Panther
Peter Rainer,At Eternity's Gate,What Will People Say,Amazing Grace,Burning,Paddington 2,A Quiet Place,Can You Ever Forgive Me?,Leave No Trace,The Death of Stalin,"Monrovia, Indiana"
CinemaBlend,Spider-Man: Into the Spider-Verse,Paddington 2,A Quiet Place,Roma,Avengers: Infinity War,Hereditary,Mary Poppins Returns,Deadpool 2,Eighth Grade,Bad Times at the El Royale
CineVue,Shoplifters,Roma,Happy as Lazzaro,If Beale Street Could Talk,The Sisters Brothers,The Favourite,Cold War,Border,The Grand Bizarre,Ray & Liz,Suspiria
Sam Allard,The Rider,The Favourite,Bad Times at the El Royale,BlacKkKlansman,First Reformed,Hereditary,Sorry to Bother You,Mandy,Annihilation,Free Solo
Adam Chitwood,A Star Is Born,Minding the Gap,Roma,Black Panther,Mission: Impossible – Fallout,Widows,The Ballad of Buster Scruggs,The Favourite,A Quiet Place,The Hate U Give
Haleigh Foutch,Suspiria,Annihilation,The Favourite,Hereditary,Bad Times at the El Royale,You Were Never Really Here,A Star Is Born,Sorry to Bother You,Mission: Impossible – Fallout,BlacKkKlansman
Matt Goldberg,Paddington 2,The Favourite,First Reformed,Spider-Man: Into the Spider-Verse,Roma,The Hate U Give,The Sisters Brothers,Annihilation,A Star Is Born,Mission: Impossible – Fallout
Vinnie Mancuso,Eighth Grade,Spider-Man: Into the Spider-Verse,Bad Times at the El Royale,You Were Never Really Here,Hereditary,Mission: Impossible – Fallout,Annihilation,Suspiria,Widows,Overlord
Perri Nemiroff,The Favourite,Bohemian Rhapsody,Eighth Grade,"Love, Simon",Black Panther,Halloween,Spider-Man: Into the Spider-Verse,Vice,Bad Times at the El Royale,Free Solo
Brad Keefe,Eighth Grade,Roma,The Favourite,Thoroughbreds,Isle of Dogs,Annihilation,Sorry to Bother You,Mandy,First Reformed,You Were Never Really Here
Alan Cerny,Bodied,Spider-Man: Into the Spider-Verse,Hearts Beat Loud,Destroyer,Mission: Impossible – Fallout,Black Panther,Sorry to Bother You,Eighth Grade,Upgrade,Anna and the Apocalypse
Scott Chitwood,Solo: A Star Wars Story,Spider-Man: Into the Spider-Verse,A Quiet Place,Avengers: Infinity War,Bohemian Rhapsody,Ready Player One,Black Panther,Ant-Man and the Wasp,First Man,Incredibles 2
Max Evry,Annihilation,BlacKkKlansman,Mandy,The Ballad of Buster Scruggs,Boiled Angels: The Mike Diana Story,The Other Side of the Wind,Hold the Dark,Game Night,Spider-Man: Into the Spider-Verse,The Quest of Alain Ducasse
Spencer Perry,Hereditary,Assassination Nation,Mission: Impossible – Fallout,The Favourite,Spider-Man: Into the Spider-Verse,Avengers: Infinity War,The Ballad of Buster Scruggs,Eighth Grade,BlacKkKlansman,Halloween
Joshua Starnes,A Bread Factory: Parts One and Two,Shoplifters,Mirai,The Favourite,If Beale Street Could Talk,A Star Is Born,Paddington 2,Sorry to Bother You,The Ballad of Buster Scruggs,The Hate U Give
Scott Wilson,Columbus,Leave No Trace,The Shape of Water,Lady Bird,Phantom Thread,Annihilation,First Reformed,Roma,Thoroughbreds,Hearts Beat Loud
Complex,Widows,A Star Is Born,Mission: Impossible – Fallout,Black Panther,If Beale Street Could Talk,Burning,Hereditary,Suspiria,Avengers: Infinity War,First Reformed
Consequence of Sound,Hereditary,Eighth Grade,BlacKkKlansman,Paddington 2,If Beale Street Could Talk,First Reformed,The Favourite,The Tale,Roma,You Were Never Really Here
Joshua Brunsting,If Beale Street Could Talk,First Reformed,Zama,Happy as Lazzaro,The Other Side of the Wind,Paddington 2,Western,Cold War,The Wild Boys,Dead Souls
Marlow Stern,Roma,Eighth Grade,Shoplifters,Burning,You Were Never Really Here,The Rider,Widows,Minding the Gap,Sorry to Bother You,A Star Is Born
Dazed,Hereditary,Sorry to Bother You,"Hale County This Morning, This Evening",Isle of Dogs,The Hate U Give,Eighth Grade,BlacKkKlansman,To All the Boys I've Loved Before,Burning,The Miseducation of Cameron Post
Pete Hammond,Green Book,Mary Poppins Returns,Can You Ever Forgive Me?,BlacKkKlansman,Capernaum,A Star Is Born,Crazy Rich Asians,Vice,Private Life,Won't You Be My Neighbor?
Den of Geek [UK],Avengers: Infinity War,Black Panther,Spider-Man: Into the Spider-Verse,Mission: Impossible – Fallout,BlacKkKlansman,A Quiet Place,Annihilation,A Star Is Born,The Shape of Water,Hereditary
David Crow,The Favourite,If Beale Street Could Talk,Sorry to Bother You,Free Solo,Roma,Annihilation,Hereditary,Three Identical Strangers,BlacKkKlansman,Spider-Man: Into the Spider-Verse
Don Kaye,Avengers: Infinity War,You Were Never Really Here,Three Identical Strangers,First Reformed,Roma,Leave No Trace,Can You Ever Forgive Me?,Hereditary,Annihilation,A Star Is Born
Adam Graham,Paddington 2,First Reformed,Eighth Grade,Roma,Lean on Pete,Mission: Impossible – Fallout,Can You Ever Forgive Me?,Blindspotting,If Beale Street Could Talk,Vice
Empire,Avengers: Infinity War,Mission: Impossible – Fallout,A Quiet Place,"Three Billboards Outside Ebbing, Missouri",Black Panther,First Man,Lady Bird,A Star Is Born,Phantom Thread,BlacKkKlansman
Leah Greenblatt,The Favourite,Roma,Black Panther,Annihilation,Lean on Pete,Green Book,Burning,Hereditary,Free Solo,The Guilty
Chris Nashawaty,The Favourite,Roma,Won't You Be My Neighbor?,Eighth Grade,Paddington 2,Mission: Impossible – Fallout,Sorry to Bother You,First Man,Green Book,Mandy
Nick Schager,Mandy,Annihilation,Love After Love,The Rider,Cold War,You Were Never Really Here,First Reformed,Zama,Eighth Grade,Thunder Road
Exclaim!,Eighth Grade,Sorry to Bother You,A Quiet Place,Black Panther,Mandy,Hereditary,Won't You Be My Neighbor?,First Reformed,Paddington 2,BlacKkKlansman
