Critic/Publisher,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eigth,Ninth,Tenth
Bill Goodykoontz,Argo,Moonrise Kingdom,Zero Dark Thirty,Lincoln,Silver Linings Playbook,This Is Not a Film,The Master,The Cabin in the Woods,Skyfall,Wreck-It Ralph
J Hoberman,Werner Schroeter retrospective at MOMA,(tie) Almayer's Folly,(tie) Tabu,Il Cinema Ritrovato XVI (annual festival in Bologna),Oskar Fischinger: Space Light Art (Whitney Museum exhibition),Lonesome,Beyond the Hills,Leviathan,The Master,(tie) Moonrise Kingdom,(tie) Beasts of the Southern Wild,Clint Eastwood on YouTube 
Amy Taubin,Cosmopolis,The Gatekeepers,Beasts of the Southern Wild,Mobile Homestead  trilogy,Amour,Memories Look at Me,Our Children,Almayer's Folly,Araf-Somewhere in Between,The Unspeakable Act 
Jake Coyle,Amour,The Master,Margaret,Moonrise Kingdom,Not Fade Away,Lincoln,"Jeff, Who Lives at Home",The Dust Bowl,Holy Motors,Premium Rush 
Associated Press David Germain,Moonrise Kingdom,Life of Pi,Zero Dark Thirty,Argo,Searching for Sugar Man,Rust and Bone,The Master,Lincoln,West of Memphis,Looper 
Christy Lemire,Argo,Beasts of the Southern Wild,Skyfall,Holy Motors,Zero Dark Thirty,The Master,The Imposter,Moonrise Kingdom,"Oslo, August 31st",This Is Not a Film 
Richard Lawson,The Amazing Spider-Man,Amour,Argo,Beasts of the Southern Wild,The Cabin in the Woods,How to Survive a Plague,Looper,Moonrise Kingdom,Your Sister's Sister,Zero Dark Thirty 
Christopher Orr,Zero Dark Thirty,Lincoln,Beasts of the Southern Wild,The Avengers,Moonrise Kingdom,The Master,Silver Linings Playbook,(tie) The Cabin in the Woods,(tie) Seven Psychopaths,Amour,Frankenweenie 
Marjorie Baumgarten,Holy Motors,Cloud Atlas,Beasts of the Southern Wild,Lincoln,Argo,Amour,Zero Dark Thirty,Polisse,This Must Be the Place,Rust and Bone
Kimberley Jones,Polisse,The Master,Zero Dark Thirty,Holy Motors,Celeste & Jesse Forever,Moonrise Kingdom,"Oslo, August 31st",Les Miserables,Jiro Dreams of Sushi,Cloud Atlas
A.V. Club Sam Adams,Moonrise Kingdom,It's Such a Beautiful Day,Middle of Nowhere,Magic Mike,Killer Joe,Amour,The Deep Blue Sea,Wuthering Heights,Barbara,The Master 
Mike D'Angelo,Holy Motors,The Imposter,The Loneliest Planet,Miss Bala,Moonrise Kingdom,Amour,The Deep Blue Sea,Only the Young,Looper,This Must Be the Place
Noel Murray,The Master,Zero Dark Thirty,Life of Pi,Damsels in Distress,Holy Motors,It's Such a Beautiful Day,Photographic Memory,Looper,The Queen of Versailles,The Deep Blue Sea
Keith Phipps,Zero Dark Thirty,Moonrise Kingdom,The Master,Wuthering Heights,Amour,The Kid with a Bike,The Deep Blue Sea,Beasts of the Southern Wild,The Loneliest Planet,Holy Motors
A.V. Club Nathan Rabin,The Master,Django Unchained,Bernie,Searching for Sugar Man,Moonrise Kingdom,The Queen of Versailles,Only the Young,Silver Linings Playbook,Killer Joe,Boy
Tasha Robinson,The Avengers,Wreck-It Ralph,Zero Dark Thirty,Chasing Ice,I Wish,Where Do We Go Now?,The Master,Beasts of the Southern Wild,The Secret World Of Arrietty,The Cabin in the Woods
Scott Tobias,The Master,The Turin Horse,The Deep Blue Sea,Holy Motors,The Loneliest Planet,Moonrise Kingdom,Once Upon a Time in Anatolia,Zero Dark Thirty,The Comedy,Amour
Alison Willmore,This Is Not a Film,The Loneliest Planet,The Master,Lincoln,Rust and Bone,Holy Motors,Zero Dark Thirty,Beasts of the Southern Wild,The Cabin in the Woods,Dark Horse
Ty Burr,Beasts of the Southern Wild,Amour,Zero Dark Thirty,Moonrise Kingdom,Holy Motors,Lincoln,Argo,Django Unchained,This Is Not a Film,"Oslo, August 31st"
Boston Globe  Wesley Morris,The Master,How to Survive a Plague,The Paperboy,Amour,Django Unchained,Moonrise Kingdom,Polisse,Holy Motors,Once Upon a Time in Anatolia 21,Jump Street
Lawrence Toppman,Lincoln,Argo,The Master,The House I Live In,ParaNorman,Searching for Sugar Man,A Royal Affair,The Cabin in the Woods,Zero Dark Thirty,Skyfall
Chicago Reader Drew Hunt,The Master,Two Years at Sea,Haywire,Moonrise Kingdom,The Comedy,"Goodbye, First Love",Django Unchained,The Day He Arrives,The Deep Blue Sea,A Burning Hot Summer
J.R. Jones,A Separation,Lincoln,In the Family,God Bless America,Le Grand Amour,The House I Live In,Beyond the Hills,Rust and Bone,Compliance,The Color Wheel
Ben Sachs,Life Without Principle,Possession,A Simple Life,The Master,Sack Barrow,We Have a Pope,Holy Motors,The Paperboy,This Is Not a Film,Cosmopolis
Chicago Sun-Times Roger Ebert,Argo,Life of Pi,Lincoln,End of Watch,Arbitrage,Flight,The Sessions,Beasts of the Southern Wild,"Oslo, August 31st",A Simple Life 
Michael Phillips,Zero Dark Thirty,Lincoln,Once Upon a Time in Anatolia,The Master,Amour,Chico & Rita,The Color Wheel,Searching for Sugar Man,Flight,Moonrise Kingdom 
Peter Rainer,The Master,This Is Not a Film,Once Upon a Time in Anatolia,Sister,Photographic Memory,The Secret World Of Arrietty,Holy Motors,The Gatekeepers,The Invisible War,Bernie 
Cleveland Plain Dealer  Clint O'Connor,Moonrise Kingdom,Argo,Zero Dark Thirty,Beasts of the Southern Wild,Django Unchained,The Grey,Hitchcock,Detachment,The Master,Life of Pi
Randy Myers,Zero Dark Thirty,Argo,The Master,Amour,Beasts of the Southern Wild,Moonrise Kingdom,Silver Linings Playbook,Looper,The Grey,In the Family
Denver Post  Lisa Kennedy,Beasts of the Southern Wild,Argo,Amour,Life of Pi,The Dark Knight Rises,Django Unchained,Zero Dark Thirty,Lincoln,Les Miserables,Silver Linings Playbook 
Empire,The Avengers,Argo,The Dark Knight Rises,Skyfall,Beasts of the Southern Wild,Sightseers,Moonrise Kingdom,The Raid: Redemption,Headhunters,Rust and Bone 
Owen Gleiberman,Lincoln,Amour,Silver Linings Playbook,Room 237,Zero Dark Thirty,The Perks of Being a Wallflower,Killing Them Softly,Argo,Flight,Bernie
